id_nodo; timestamp; temperatura; humedad; CO2; volatiles
nodoPrueba2;1747142201107;22.5;20.2;73;11
nodoPrueba2;1747143036261;22.5;20.2;73;11
nodoPrueba2;1747143966528;22.5;20.2;73;11
nodoPrueba2;1747146066286;22.5;20.2;73;11
nodoPrueba2;1747146351583;22.5;20.2;73;11
nodoPrueba2;1747146388877;22.5;20.2;73;11
nodoPrueba2;1747146529150;22.5;20.2;73;11
nodoPrueba2;1747146598719;22.5;20.2;73;11
nodoPrueba2;1747146659869;22.5;20.2;73;11
nodoPrueba2;1747146684318;22.5;20.2;73;11
nodoPrueba2;1747146825669;22.5;20.2;73;11
nodoPrueba2;1747147222362;22.5;20.2;73;11
nodoPrueba2;1747147264542;22.5;20.2;73;11
nodoPrueba2;1747147276990;22.5;20.2;73;11
nodoPrueba2;1747147304972;22.5;20.2;73;11
nodoPrueba2;1747147330470;22.5;20.2;73;11
nodoPrueba2;1747147387699;22.5;20.2;73;11
nodoPrueba2;1747147394525;22.5;20.2;73;11
nodoPrueba2;1747147447365;22.5;20.2;73;11
nodoPrueba2;1747147569547;22.5;20.2;73;11
nodoPrueba2;1747147586221;22.5;20.2;73;11
nodoPrueba2;1747147618876;22.5;20.2;73;11
nodoPrueba2;1747147630758;22.5;20.2;73;11
nodoPrueba2;1747147649318;42.5;20.2;73;11
nodoPrueba2;1747147713349;42.5;20.2;73;11
nodoPrueba2;1747147852563;42.5;20.2;73;11
nodoPrueba2;1747147864165;42.5;20.2;73;11
nodoPrueba2;1747147911507;42.5;20.2;73;11
