id_nodo; timestamp; temperatura; humedad; CO2; volatiles
nodoPrueba2;1746712531759;22.5;20.2;73;11
nodoPrueba2;1746712762239;22.5;20.2;73;11
nodoPrueba2;1746713987770;22.5;20.2;73;11
nodoPrueba2;1746714331289;22.5;20.2;73;11
nodoPrueba2;1746714660590;22.5;20.2;73;11
nodoPrueba2;1746714686532;22.5;20.2;73;11
nodoPrueba2;1746714732756;22.5;20.2;73;11
nodoPrueba2;1746714784357;22.5;20.2;73;11
nodoPrueba2;1746714804292;22.5;20.2;73;11
nodoPrueba2;1746714887212;22.5;20.2;73;11
nodoPrueba2;1746714905997;22.5;20.2;73;11
nodoPrueba2;1746715299524;22.5;20.2;73;11
