id_nodo; timestamp; temperatura; humedad; CO2; volatiles
nodoPrueba2;1747746939128;42.5;20.2;73;11
nodoPrueba2;1747747003947;42.5;20.2;73;11
nodoPrueba2;1747747177057;42.5;20.2;73;11
nodoPrueba2;1747747193963;42.5;20.2;73;11
nodoPrueba2;1747747196707;42.5;20.2;73;11
nodoPrueba2;1747747204915;42.5;20.2;73;11
nodoPrueba2;1747747205817;42.5;20.2;73;11
nodoPrueba2;1747747228586;42.5;20.2;73;11
nodoPrueba2;1747747241159;42.5;20.2;72;11
nodoPrueba2;1747747319538;42.5;20.2;72;11
nodoPrueba2;1747747378242;42.5;20.2;72;11
nodoPrueba2;1747747380218;42.5;20.2;72;11
nodoPrueba2;1747747428369;42.5;20.2;72;11
nodoPrueba2;1747747500977;42.5;20.2;72;11
nodoPrueba2;1747747517618;42.5;20.2;72;11
nodoPrueba2;1747747541016;42.5;20.2;72;11
nodoPrueba2;1747747553153;42.5;20.2;72;11
nodoPrueba2;1747747603569;42.5;20.2;72;11
nodoPrueba2;1747747630568;42.5;20.2;72;11
nodoPrueba2;1747748049521;42.5;20.2;72;11
nodoPrueba2;1747748062401;42.5;20.2;72;11
nodoPrueba2;1747748087689;42.5;20.2;72;11
nodoPrueba2;1747748101505;42.5;20.2;72;11
nodoPrueba2;1747748154779;42.5;20.2;72;11
nodoPrueba2;1747748160033;42.5;20.2;72;11
nodoPrueba2;1747748221409;42.5;20.2;72;11
nodoPrueba2;1747748260146;42.5;20.2;72;11
nodoPrueba2;1747748271193;42.5;20.2;72;11
nodoPrueba2;1747748391450;42.5;20.2;72;11
nodoPrueba2;1747748393025;42.5;20.2;72;11
nodoPrueba2;1747748446161;42.5;20.2;72;11
nodoPrueba2;1747748630937;42.5;20.2;72;11
nodoPrueba2;1747748766057;42.5;20.2;72;11
nodoPrueba2;1747748889056;42.5;20.2;72;11
nodoPrueba2;1747748983513;42.5;20.2;72;11
nodoPrueba2;1747748990194;42.5;20.2;72;11
nodoPrueba2;1747749160017;42.5;20.2;72;11
nodoPrueba2;1747749229441;42.5;20.2;72;11
nodoPrueba2;1747749357289;42.5;20.2;72;11
nodoPrueba2;1747749492857;42.5;20.2;72;11
nodoPrueba2;1747749514321;42.5;20.2;72;11
nodoPrueba2;1747749596345;42.5;20.2;72;11
nodoPrueba2;1747749628943;42.5;20.2;72;11
nodoPrueba2;1747749757049;42.5;20.2;72;11
nodoPrueba2;1747749767409;42.5;20.2;72;11
nodoPrueba2;1747749822641;42.5;20.2;72;11
nodoPrueba2;1747749826545;42.5;20.2;72;11
nodoPrueba2;1747749865832;42.5;20.2;72;11
nodoPrueba2;1747749866675;42.5;20.2;72;11
nodoPrueba2;1747749867129;42.5;20.2;72;11
nodoPrueba2;1747749921015;42.5;20.2;72;11
nodoPrueba2;1747749922017;42.5;20.2;72;11
nodoPrueba2;1747750002728;42.5;20.2;72;11
nodoPrueba2;1747750005673;42.5;20.2;72;11
nodoPrueba2;1747750069856;42.5;20.2;72;11
nodoPrueba2;1747750220296;42.5;20.2;72;11
nodoPrueba2;1747750302736;42.5;20.2;72;11
nodoPrueba2;1747750366159;42.5;20.2;72;11
nodoPrueba2;1747750371239;42.5;20.2;72;11
nodoPrueba2;1747750485126;42.5;20.2;72;11
nodoPrueba2;1747750489247;42.5;20.2;72;11
nodoPrueba2;1747750518493;42.5;20.2;75;11
nodoPrueba2;1747750553965;30.5;20.2;75;11
nodoPrueba2;1747753109427;30.5;20.2;75;11
nodoPrueba2;1747753148765;30.5;20.2;75;11
