id_nodo; timestamp; temperatura; humedad; CO2; volatiles
nodoPrueba2;1748352440429;29.7;33.3;62;8
nodoPrueba2;1748352482029;25;50;45;15
nodoPrueba2;1748352717605;32;42;69;7
nodoPrueba2;1748353112322;33;25;55;10
nodoPrueba2;1748357411952;33;25;55;10
nodoPrueba2;1748357418615;33;25;55;10
nodoPrueba2;1748357628114;33;50;55;5
nodoPrueba2;1748357634055;33;50;55;5
nodoPrueba2;1748357948401;80;32;75;15
nodoPrueba2;1748357954086;80;32;75;15
nodoPrueba2;1748357999821;15;45;74;8
nodoPrueba2;1748358563611;15;45;74;8
nodoPrueba2;1748358569468;15;45;74;8
nodoPrueba2;1748358841748;10;36;84;12
nodoPrueba2;1748360263064;15;40;72;50
nodoPrueba2;1748360301051;18;65;95;25
nodoPrueba2;1748360646041;18;65;95;25
nodoPrueba2;1748360674116;25;85;48;45
nodoPrueba2;1748360741562;25;85;59;45
nodoPrueba2;1748361173353;25;85;59;45
nodoPrueba2;1748361562801;25;85;59;45
nodoPrueba2;1748361831290;25;85;59;45
nodoPrueba2;1748361836163;25;85;59;45
nodoPrueba2;1748361879957;25;85;59;45
nodoPrueba2;1748361880884;25;85;59;45
nodoPrueba2;1748361881612;25;85;59;45
nodoPrueba2;1748361921683;80;12;75;59
nodoPrueba2;1748362167202;40;12;75;59
